,src_name,popularity,relevance_query,score_rank,score_mean
4280,marches-publics.info46,0.022222222222222223,0.25,0.6893939393939394,0.38020202020202026
6633,webfactoryltd,0.022222222222222223,0.25,0.6893939393939394,0.38020202020202026
5269,pst-fc.parisnanterre,0.022222222222222223,0.25,0.6893939393939394,0.38020202020202026
3275,ijcai,0.022222222222222223,0.25,0.6893939393939394,0.38020202020202026
5465,resources.sei.cmu.edu,0.022222222222222223,0.25,0.6893939393939394,0.38020202020202026
5488,revue-urbanites,0.022222222222222223,0.25,0.6893939393939394,0.38020202020202026
3069,haute-savoie.cci,0.022222222222222223,0.25,0.6893939393939394,0.38020202020202026
854,blog.investyadnya.in,0.022222222222222223,0.25,0.6893939393939394,0.38020202020202026
3942,lemondedesartisans,0.022222222222222223,0.25,0.6893939393939394,0.38020202020202026
3954,leonard.vinci,0.022222222222222223,0.25,0.6893939393939394,0.38020202020202026
5619,sasb,0.022222222222222223,0.25,0.6893939393939394,0.38020202020202026
3064,hautbugey-agglomeration,0.022222222222222223,0.25,0.6893939393939394,0.38020202020202026
2574,faf2d903b71973b3846377ad36934216.timpul.ro,0.022222222222222223,0.25,0.6893939393939394,0.38020202020202026
4176,madame.lefigaro,0.022222222222222223,0.25,0.6893939393939394,0.38020202020202026
2000,dlibrary.univ-boumerdes.dz:8080,0.022222222222222223,0.25,0.6893939393939394,0.38020202020202026
6096,taxguru.in,0.022222222222222223,0.25,0.6893939393939394,0.38020202020202026
1225,cdn.loewe.tv,0.022222222222222223,0.25,0.6893939393939394,0.38020202020202026
5369,realisium,0.022222222222222223,0.25,0.6893939393939394,0.38020202020202026
5923,springerprofessional.de,0.022222222222222223,0.25,0.6893939393939394,0.38020202020202026
1484,cndp,0.022222222222222223,0.25,0.6893939393939394,0.38020202020202026
2940,grabjobs.co,0.022222222222222223,0.25,0.6893939393939394,0.38020202020202026
1113,capissoire,0.022222222222222223,0.25,0.6893939393939394,0.38020202020202026
3810,lalist.inist,0.06666666666666667,0.0,0.916378142968936,0.37988459052090773
5470,ressources.anap,0.06666666666666667,0.25,0.6661491773225395,0.3797930042623492
2699,formation.grandest,0.022222222222222223,0.0,0.9381443298969072,0.3797021764032073
4383,meganslawdatabase.fortheme,0.022222222222222223,0.0,0.9381443298969072,0.3797021764032073
4326,masterfec,0.022222222222222223,0.0,0.9381443298969072,0.3797021764032073
5216,pro.choisirmonmetier-paysdelaloire,0.022222222222222223,0.0,0.9381443298969072,0.3797021764032073
1830,daylesford,0.022222222222222223,0.0,0.9381443298969072,0.3797021764032073
4728,ns2.diplomados.edu.pe,0.022222222222222223,0.0,0.9381443298969072,0.3797021764032073
6366,umontreal.ca,0.022222222222222223,0.0,0.9381443298969072,0.3797021764032073
32,3d.legal,0.022222222222222223,0.0,0.9381443298969072,0.3797021764032073
6315,troyvt,0.022222222222222223,0.0,0.9381443298969072,0.3797021764032073
6038,swgoh.gg,0.022222222222222223,0.0,0.9381443298969072,0.3797021764032073
3127,hillmontgi,0.022222222222222223,0.0,0.9381443298969072,0.3797021764032073
231,ageconsearch.umn.edu,0.022222222222222223,0.0,0.9381443298969072,0.3797021764032073
6748,xn--faire-carrire-6gb,0.022222222222222223,0.0,0.9381443298969072,0.3797021764032073
4073,living-in,0.022222222222222223,0.0,0.9381443298969072,0.3797021764032073
5710,senjob,0.022222222222222223,0.0,0.9381443298969072,0.3797021764032073
1963,dimo-analytics,0.022222222222222223,0.0,0.9381443298969072,0.3797021764032073
279,agri79,0.022222222222222223,0.0,0.9381443298969072,0.3797021764032073
4584,nationalgeographic,0.022222222222222223,0.0,0.9381443298969072,0.3797021764032073
2914,godiche.ru,0.022222222222222223,0.0,0.9381443298969072,0.3797021764032073
